"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"NUOUPUS","198306","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198307","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198308","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198309","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198310","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198311","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198312","81","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198313","81","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198401","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198402","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198403","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198404","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198405","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198406","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198407","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198408","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198409","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198410","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198411","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198412","87","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198413","87","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198501","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198502","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198503","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198504","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198505","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198506","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198507","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198508","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198509","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198510","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198511","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198512","96","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198513","96","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198601","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198602","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198603","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198604","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198605","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198606","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198607","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198608","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198609","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198610","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198611","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198612","101","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198613","101","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198701","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198702","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198703","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198704","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198705","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","198706","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
